timestamp,btc_price,up_token_price,down_token_price
2026-07-31T02:25:04Z,64383.78,,
2026-07-31T02:25:05Z,64382.46,0.51,0.49
2026-07-31T02:25:06Z,64382.46,0.51,0.49
2026-07-31T02:25:07Z,64382.46,0.51,0.49
2026-07-31T02:25:08Z,64382.46,0.51,0.49
2026-07-31T02:25:09Z,64382.46,0.51,0.49
2026-07-31T02:25:10Z,64382.46,0.50,0.50
2026-07-31T02:25:11Z,64382.45,0.53,0.47
2026-07-31T02:25:12Z,64382.46,0.53,0.47
2026-07-31T02:25:13Z,64382.45,0.53,0.47
2026-07-31T02:25:14Z,64382.45,0.52,0.48
2026-07-31T02:25:15Z,64382.46,0.52,0.48
2026-07-31T02:25:16Z,64382.46,0.49,0.51
2026-07-31T02:25:17Z,64382.45,0.49,0.51
2026-07-31T02:25:18Z,64382.45,0.49,0.51
2026-07-31T02:25:19Z,64382.45,0.49,0.51
2026-07-31T02:25:20Z,64382.46,0.49,0.51
2026-07-31T02:25:21Z,64382.46,0.49,0.51
2026-07-31T02:25:22Z,64382.46,0.49,0.51
2026-07-31T02:25:23Z,64390.00,0.58,0.41
2026-07-31T02:25:24Z,64390.00,0.59,0.41
2026-07-31T02:25:25Z,64390.01,0.59,0.41
2026-07-31T02:25:26Z,64390.01,0.59,0.41
2026-07-31T02:25:27Z,64390.01,0.59,0.41
2026-07-31T02:25:29Z,64390.01,0.60,0.40
2026-07-31T02:25:30Z,64390.01,0.60,0.40
2026-07-31T02:25:31Z,64390.01,0.55,0.46
2026-07-31T02:25:32Z,64390.01,0.56,0.43
2026-07-31T02:25:33Z,64390.01,0.56,0.43
2026-07-31T02:25:34Z,64390.01,0.57,0.42
2026-07-31T02:25:35Z,64390.01,0.58,0.41
2026-07-31T02:25:36Z,64390.00,0.58,0.41
2026-07-31T02:25:37Z,64390.00,0.56,0.45
2026-07-31T02:25:38Z,64390.01,0.55,0.46
2026-07-31T02:25:39Z,64390.01,0.56,0.45
2026-07-31T02:25:40Z,64390.01,0.60,0.40
2026-07-31T02:25:41Z,64390.01,0.60,0.40
2026-07-31T02:25:42Z,64390.01,0.60,0.40
2026-07-31T02:25:43Z,64390.01,0.56,0.43
2026-07-31T02:25:44Z,64390.01,0.59,0.41
2026-07-31T02:25:45Z,64390.01,0.59,0.41
2026-07-31T02:25:46Z,64390.01,0.56,0.45
2026-07-31T02:25:47Z,64390.01,0.56,0.45
2026-07-31T02:25:48Z,64390.00,0.56,0.45
2026-07-31T02:25:49Z,64390.01,0.56,0.45
2026-07-31T02:25:50Z,64390.00,0.56,0.45
2026-07-31T02:25:51Z,64390.00,0.56,0.45
2026-07-31T02:25:52Z,64390.01,0.57,0.42
2026-07-31T02:25:53Z,64389.99,0.56,0.43
2026-07-31T02:25:54Z,64390.00,0.56,0.43
2026-07-31T02:25:55Z,64390.00,0.56,0.43
2026-07-31T02:25:56Z,64390.00,0.56,0.43
2026-07-31T02:25:57Z,64389.99,0.50,0.50
2026-07-31T02:25:58Z,64389.99,0.58,0.41
2026-07-31T02:25:59Z,64390.00,0.59,0.41
2026-07-31T02:26:00Z,64389.99,0.59,0.41
2026-07-31T02:26:01Z,64390.00,0.59,0.41
2026-07-31T02:26:02Z,64390.00,0.59,0.41
2026-07-31T02:26:03Z,64390.00,0.58,0.41
2026-07-31T02:26:04Z,64390.00,0.58,0.41
2026-07-31T02:26:05Z,64390.00,0.58,0.41
2026-07-31T02:26:06Z,64390.00,0.58,0.41
2026-07-31T02:26:07Z,64390.00,0.58,0.41
2026-07-31T02:26:08Z,64389.99,0.58,0.41
2026-07-31T02:26:09Z,64390.00,0.57,0.42
2026-07-31T02:26:10Z,64389.99,0.58,0.41
2026-07-31T02:26:11Z,64390.00,0.59,0.41
2026-07-31T02:26:12Z,64390.00,0.59,0.41
2026-07-31T02:26:13Z,64390.00,0.59,0.41
2026-07-31T02:26:14Z,64390.00,0.59,0.41
2026-07-31T02:26:15Z,64390.00,0.60,0.40
2026-07-31T02:26:16Z,64389.99,0.60,0.40
2026-07-31T02:26:17Z,64389.99,0.60,0.40
2026-07-31T02:26:18Z,64390.00,0.60,0.40
2026-07-31T02:26:19Z,64390.00,0.57,0.42
2026-07-31T02:26:20Z,64390.00,0.57,0.42
2026-07-31T02:26:21Z,64390.00,0.56,0.43
2026-07-31T02:26:22Z,64390.00,0.56,0.43
2026-07-31T02:26:23Z,64390.00,0.57,0.42
2026-07-31T02:26:24Z,64390.00,0.59,0.41
2026-07-31T02:26:25Z,64390.00,0.59,0.41
2026-07-31T02:26:26Z,64390.00,0.65,0.35
2026-07-31T02:26:27Z,64390.00,0.64,0.36
2026-07-31T02:26:28Z,64390.00,0.62,0.38
2026-07-31T02:26:29Z,64390.00,0.62,0.38
2026-07-31T02:26:30Z,64390.00,0.60,0.40
2026-07-31T02:26:31Z,64390.00,0.61,0.39
2026-07-31T02:26:32Z,64390.00,0.62,0.38
2026-07-31T02:26:33Z,64390.00,0.64,0.36
2026-07-31T02:26:34Z,64390.00,0.56,0.43
2026-07-31T02:26:35Z,64388.01,0.53,0.47
2026-07-31T02:26:36Z,64387.99,0.53,0.47
2026-07-31T02:26:37Z,64382.47,0.49,0.51
2026-07-31T02:26:38Z,64382.47,0.49,0.51
2026-07-31T02:26:39Z,64382.46,0.59,0.41
2026-07-31T02:26:40Z,64385.45,0.59,0.41
2026-07-31T02:26:41Z,64385.45,0.59,0.41
2026-07-31T02:26:42Z,64387.50,0.62,0.38
2026-07-31T02:26:43Z,64387.50,0.56,0.45
2026-07-31T02:26:44Z,64388.01,0.52,0.48
2026-07-31T02:26:45Z,64387.49,0.52,0.48
2026-07-31T02:26:46Z,64387.12,0.54,0.46
2026-07-31T02:26:47Z,64387.12,0.54,0.46
2026-07-31T02:26:48Z,64387.12,0.52,0.48
2026-07-31T02:26:49Z,64387.12,0.52,0.48
2026-07-31T02:26:50Z,64387.12,0.52,0.48
2026-07-31T02:26:51Z,64387.12,0.52,0.48
2026-07-31T02:26:52Z,64387.13,0.53,0.47
2026-07-31T02:26:53Z,64387.13,0.55,0.46
2026-07-31T02:26:54Z,64387.13,0.55,0.46
2026-07-31T02:26:55Z,64387.13,0.55,0.46
2026-07-31T02:26:56Z,64387.13,0.55,0.46
2026-07-31T02:26:57Z,64387.10,0.54,0.46
2026-07-31T02:26:58Z,64386.68,0.54,0.46
2026-07-31T02:26:59Z,64386.68,0.53,0.47
2026-07-31T02:27:00Z,64386.69,0.55,0.46
2026-07-31T02:27:01Z,64386.71,0.64,0.36
2026-07-31T02:27:02Z,64390.00,0.66,0.34
2026-07-31T02:27:03Z,64390.00,0.66,0.34
2026-07-31T02:27:04Z,64390.00,0.70,0.29
2026-07-31T02:27:05Z,64400.36,0.50,0.36
2026-07-31T02:27:06Z,64396.68,0.65,0.35
2026-07-31T02:27:07Z,64396.01,0.59,0.41
2026-07-31T02:27:08Z,64396.01,0.60,0.40
2026-07-31T02:27:09Z,64396.01,0.61,0.39
2026-07-31T02:27:10Z,64396.01,0.61,0.39
2026-07-31T02:27:11Z,64396.01,0.62,0.38
2026-07-31T02:27:12Z,64396.01,0.64,0.36
2026-07-31T02:27:13Z,64396.01,0.64,0.36
2026-07-31T02:27:14Z,64396.00,0.64,0.36
2026-07-31T02:27:15Z,64396.00,0.64,0.36
2026-07-31T02:27:16Z,64396.01,0.64,0.36
2026-07-31T02:27:17Z,64396.00,0.66,0.34
2026-07-31T02:27:18Z,64396.00,0.65,0.35
2026-07-31T02:27:19Z,64396.01,0.64,0.36
2026-07-31T02:27:20Z,64396.01,0.64,0.36
2026-07-31T02:27:21Z,64396.00,0.64,0.36
2026-07-31T02:27:22Z,64396.00,0.64,0.36
2026-07-31T02:27:23Z,64396.01,0.64,0.36
2026-07-31T02:27:24Z,64396.01,0.65,0.35
2026-07-31T02:27:25Z,64396.01,0.66,0.34
2026-07-31T02:27:26Z,64396.00,0.68,0.33
2026-07-31T02:27:27Z,64396.00,0.69,0.30
2026-07-31T02:27:28Z,64396.00,0.74,0.26
2026-07-31T02:27:29Z,64405.88,0.80,0.21
2026-07-31T02:27:30Z,64405.88,0.79,0.21
