timestamp,btc_price,up_token_price,down_token_price
2026-08-06T14:40:05Z,64566.75,,
2026-08-06T14:40:06Z,64566.75,0.41,0.59
2026-08-06T14:40:07Z,64566.75,0.40,0.60
2026-08-06T14:40:08Z,64566.76,0.42,0.57
2026-08-06T14:40:09Z,64585.02,0.51,0.49
2026-08-06T14:40:10Z,64585.02,0.52,0.48
2026-08-06T14:40:11Z,64585.02,0.52,0.48
2026-08-06T14:40:12Z,64585.02,0.52,0.48
2026-08-06T14:40:13Z,64580.20,0.46,0.55
2026-08-06T14:40:14Z,64574.00,0.45,0.56
2026-08-06T14:40:15Z,64574.00,0.49,0.51
2026-08-06T14:40:16Z,64574.50,0.49,0.51
2026-08-06T14:40:17Z,64574.50,0.49,0.51
2026-08-06T14:40:18Z,64577.99,0.49,0.51
2026-08-06T14:40:19Z,64578.00,0.53,0.47
2026-08-06T14:40:20Z,64583.99,0.55,0.46
2026-08-06T14:40:21Z,64586.88,0.56,0.43
2026-08-06T14:40:22Z,64587.30,0.56,0.43
2026-08-06T14:40:23Z,64587.30,0.56,0.43
2026-08-06T14:40:24Z,64587.30,0.57,0.42
2026-08-06T14:40:25Z,64588.00,0.57,0.42
2026-08-06T14:40:26Z,64589.99,0.58,0.41
2026-08-06T14:40:27Z,64590.00,0.58,0.41
2026-08-06T14:40:28Z,64590.00,0.58,0.41
2026-08-06T14:40:29Z,64592.85,0.59,0.41
2026-08-06T14:40:30Z,64592.85,0.59,0.41
2026-08-06T14:40:31Z,64594.86,0.59,0.41
2026-08-06T14:40:32Z,64594.42,0.58,0.41
2026-08-06T14:40:33Z,64594.42,0.59,0.41
2026-08-06T14:40:34Z,64594.43,0.58,0.41
2026-08-06T14:40:35Z,64594.42,0.50,0.50
2026-08-06T14:40:36Z,64594.43,0.56,0.43
2026-08-06T14:40:37Z,64590.01,0.53,0.47
2026-08-06T14:40:38Z,64590.01,0.46,0.55
2026-08-06T14:40:39Z,64578.01,0.43,0.57
2026-08-06T14:40:40Z,64572.01,0.42,0.57
2026-08-06T14:40:41Z,64572.01,0.46,0.54
2026-08-06T14:40:42Z,64572.01,0.46,0.54
2026-08-06T14:40:43Z,64572.01,0.50,0.50
2026-08-06T14:40:44Z,64572.01,0.47,0.53
2026-08-06T14:40:45Z,64576.55,0.51,0.49
2026-08-06T14:40:46Z,64576.79,0.51,0.49
2026-08-06T14:40:47Z,64576.79,0.51,0.49
2026-08-06T14:40:48Z,64576.80,0.50,0.50
2026-08-06T14:40:49Z,64585.05,0.53,0.47
2026-08-06T14:40:50Z,64583.32,0.53,0.47
2026-08-06T14:40:51Z,64583.32,0.53,0.47
2026-08-06T14:40:52Z,64583.32,0.54,0.46
2026-08-06T14:40:53Z,64584.04,0.56,0.43
2026-08-06T14:40:54Z,64586.80,0.57,0.42
2026-08-06T14:40:55Z,64587.99,0.58,0.41
2026-08-06T14:40:56Z,64587.99,0.55,0.46
2026-08-06T14:40:57Z,64587.99,0.49,0.51
2026-08-06T14:40:58Z,64580.00,0.48,0.52
2026-08-06T14:40:59Z,64580.01,0.49,0.51
2026-08-06T14:41:00Z,64580.01,0.49,0.51
2026-08-06T14:41:01Z,64580.01,0.49,0.51
2026-08-06T14:41:02Z,64583.13,0.56,0.45
2026-08-06T14:41:03Z,64584.00,0.53,0.47
2026-08-06T14:41:04Z,64584.00,0.55,0.46
2026-08-06T14:41:05Z,64588.00,0.57,0.42
2026-08-06T14:41:06Z,64588.00,0.57,0.42
2026-08-06T14:41:07Z,64588.00,0.53,0.47
2026-08-06T14:41:08Z,64588.00,0.53,0.47
2026-08-06T14:41:09Z,64588.00,0.56,0.45
2026-08-06T14:41:10Z,64588.01,0.56,0.43
2026-08-06T14:41:11Z,64596.95,0.62,0.38
2026-08-06T14:41:12Z,64596.95,0.65,0.35
2026-08-06T14:41:13Z,64599.19,0.65,0.35
2026-08-06T14:41:14Z,64599.19,0.57,0.42
2026-08-06T14:41:15Z,64590.00,0.55,0.46
2026-08-06T14:41:16Z,64582.01,0.48,0.52
2026-08-06T14:41:17Z,64582.01,0.53,0.47
2026-08-06T14:41:18Z,64582.01,0.54,0.46
2026-08-06T14:41:19Z,64582.00,0.54,0.46
2026-08-06T14:41:20Z,64582.00,0.56,0.45
2026-08-06T14:41:21Z,64582.41,0.56,0.43
2026-08-06T14:41:22Z,64582.41,0.56,0.43
2026-08-06T14:41:23Z,64582.42,0.56,0.43
2026-08-06T14:41:24Z,64582.42,0.56,0.43
2026-08-06T14:41:25Z,64582.41,0.56,0.43
2026-08-06T14:41:26Z,64582.41,0.56,0.43
2026-08-06T14:41:27Z,64582.41,0.56,0.43
2026-08-06T14:41:28Z,64582.41,0.52,0.48
2026-08-06T14:41:29Z,64582.41,0.51,0.49
2026-08-06T14:41:30Z,64582.01,0.49,0.51
2026-08-06T14:41:31Z,64582.01,0.49,0.51
2026-08-06T14:41:32Z,64582.00,0.49,0.51
2026-08-06T14:41:33Z,64578.00,0.49,0.51
2026-08-06T14:41:34Z,64578.00,0.48,0.52
2026-08-06T14:41:35Z,64578.43,0.54,0.46
2026-08-06T14:41:36Z,64578.43,0.55,0.46
2026-08-06T14:41:37Z,64578.43,0.54,0.46
2026-08-06T14:41:38Z,64578.43,0.53,0.47
2026-08-06T14:41:39Z,64578.43,0.52,0.48
2026-08-06T14:41:40Z,64578.43,0.52,0.48
2026-08-06T14:41:41Z,64578.43,0.56,0.45
2026-08-06T14:41:42Z,64587.52,0.56,0.45
2026-08-06T14:41:43Z,64587.52,0.57,0.42
2026-08-06T14:41:44Z,64587.51,0.57,0.42
2026-08-06T14:41:45Z,64587.51,0.54,0.46
2026-08-06T14:41:46Z,64587.51,0.54,0.46
2026-08-06T14:41:47Z,64590.92,0.56,0.43
2026-08-06T14:41:48Z,64590.93,0.59,0.41
2026-08-06T14:41:49Z,64590.93,0.58,0.41
2026-08-06T14:41:50Z,64590.93,0.59,0.41
2026-08-06T14:41:51Z,64590.92,0.61,0.39
2026-08-06T14:41:52Z,64591.90,0.61,0.39
2026-08-06T14:41:53Z,64591.90,0.64,0.36
2026-08-06T14:41:54Z,64594.00,0.62,0.38
2026-08-06T14:41:55Z,64594.00,0.64,0.36
2026-08-06T14:41:56Z,64594.00,0.72,0.28
2026-08-06T14:41:57Z,64613.99,0.76,0.24
2026-08-06T14:41:58Z,64628.71,0.50,0.50
2026-08-06T14:41:59Z,64633.43,0.82,0.17
2026-08-06T14:42:00Z,64633.43,0.84,0.15
2026-08-06T14:42:01Z,64638.59,0.84,0.15
2026-08-06T14:42:02Z,64639.02,0.84,0.15
2026-08-06T14:42:03Z,64640.71,0.83,0.17
2026-08-06T14:42:04Z,64640.71,0.84,0.15
2026-08-06T14:42:05Z,64640.72,0.84,0.15
2026-08-06T14:42:06Z,64640.98,0.84,0.15
2026-08-06T14:42:07Z,64641.57,0.86,0.14
2026-08-06T14:42:08Z,64647.78,0.88,0.12
2026-08-06T14:42:09Z,64647.78,0.89,0.11
2026-08-06T14:42:10Z,64647.77,0.89,0.11
2026-08-06T14:42:11Z,64647.78,0.89,0.11
2026-08-06T14:42:12Z,64647.78,0.90,0.11
2026-08-06T14:42:13Z,64647.77,0.90,0.11
2026-08-06T14:42:14Z,64647.77,0.90,0.11
2026-08-06T14:42:15Z,64654.99,0.93,0.08
2026-08-06T14:42:16Z,64665.15,0.92,0.08
2026-08-06T14:42:17Z,64665.14,0.89,0.11
