timestamp,btc_price,up_token_price,down_token_price
2026-08-01T19:50:04Z,62520.00,,
2026-08-01T19:50:05Z,62521.99,0.65,0.35
2026-08-01T19:50:06Z,62521.99,0.65,0.35
2026-08-01T19:50:07Z,62522.00,0.64,0.36
2026-08-01T19:50:08Z,62522.00,0.64,0.36
2026-08-01T19:50:09Z,62521.99,0.59,0.41
2026-08-01T19:50:10Z,62522.00,0.59,0.41
2026-08-01T19:50:11Z,62523.99,0.64,0.36
2026-08-01T19:50:12Z,62523.99,0.64,0.36
2026-08-01T19:50:13Z,62523.99,0.50,0.50
2026-08-01T19:50:14Z,62524.25,0.72,0.28
2026-08-01T19:50:15Z,62529.99,0.73,0.27
2026-08-01T19:50:16Z,62530.00,0.73,0.27
2026-08-01T19:50:17Z,62529.99,0.72,0.28
2026-08-01T19:50:18Z,62529.99,0.72,0.28
2026-08-01T19:50:19Z,62530.00,0.72,0.28
2026-08-01T19:50:20Z,62530.00,0.72,0.28
2026-08-01T19:50:21Z,62529.99,0.72,0.28
2026-08-01T19:50:22Z,62530.00,0.72,0.28
2026-08-01T19:50:23Z,62530.00,0.72,0.28
2026-08-01T19:50:24Z,62533.99,0.77,0.23
2026-08-01T19:50:25Z,62535.99,0.79,0.21
2026-08-01T19:50:26Z,62536.00,0.79,0.21
2026-08-01T19:50:27Z,62536.43,0.78,0.23
2026-08-01T19:50:28Z,62536.43,0.79,0.21
2026-08-01T19:50:29Z,62537.99,0.79,0.21
2026-08-01T19:50:30Z,62540.00,0.79,0.21
2026-08-01T19:50:31Z,62540.00,0.69,0.31
2026-08-01T19:50:32Z,62540.00,0.73,0.27
2026-08-01T19:50:33Z,62540.00,0.79,0.21
2026-08-01T19:50:34Z,62540.00,0.77,0.23
2026-08-01T19:50:35Z,62540.00,0.50,0.50
2026-08-01T19:50:36Z,62539.99,0.76,0.24
2026-08-01T19:50:37Z,62540.00,0.79,0.21
2026-08-01T19:50:38Z,62539.99,0.76,0.24
2026-08-01T19:50:39Z,62539.99,0.78,0.23
2026-08-01T19:50:40Z,62540.00,0.77,0.23
2026-08-01T19:50:41Z,62539.99,0.78,0.23
2026-08-01T19:50:42Z,62540.00,0.79,0.21
2026-08-01T19:50:43Z,62539.99,0.78,0.23
2026-08-01T19:50:44Z,62539.99,0.78,0.23
2026-08-01T19:50:45Z,62539.99,0.79,0.21
2026-08-01T19:50:46Z,62539.99,0.77,0.23
2026-08-01T19:50:47Z,62543.82,0.81,0.20
2026-08-01T19:50:48Z,62543.82,0.81,0.20
2026-08-01T19:50:49Z,62543.82,0.80,0.21
2026-08-01T19:50:50Z,62543.86,0.78,0.23
2026-08-01T19:50:51Z,62543.85,0.78,0.23
2026-08-01T19:50:52Z,62539.89,0.70,0.29
2026-08-01T19:50:53Z,62539.88,0.70,0.29
