timestamp,btc_price,up_token_price,down_token_price
2026-07-29T21:05:04Z,63329.49,,
2026-07-29T21:05:05Z,63332.00,0.54,0.46
2026-07-29T21:05:06Z,63334.00,0.54,0.46
2026-07-29T21:05:07Z,63334.00,0.54,0.46
2026-07-29T21:05:08Z,63333.99,0.54,0.46
2026-07-29T21:05:09Z,63333.99,0.56,0.43
2026-07-29T21:05:10Z,63329.50,0.51,0.49
2026-07-29T21:05:11Z,63329.44,0.49,0.51
2026-07-29T21:05:12Z,63329.44,0.51,0.49
2026-07-29T21:05:13Z,63329.43,0.51,0.49
2026-07-29T21:05:14Z,63318.01,0.46,0.55
2026-07-29T21:05:15Z,63316.01,0.45,0.56
2026-07-29T21:05:16Z,63276.84,0.50,0.50
2026-07-29T21:05:17Z,63276.84,0.29,0.70
2026-07-29T21:05:18Z,63289.92,0.32,0.68
2026-07-29T21:05:19Z,63281.99,0.34,0.66
2026-07-29T21:05:20Z,63286.19,0.35,0.65
2026-07-29T21:05:21Z,63286.22,0.38,0.62
2026-07-29T21:05:22Z,63287.11,0.36,0.64
2026-07-29T21:05:23Z,63287.11,0.38,0.62
2026-07-29T21:05:24Z,63287.12,0.38,0.62
2026-07-29T21:05:25Z,63292.06,0.36,0.64
2026-07-29T21:05:26Z,63292.06,0.35,0.65
2026-07-29T21:05:27Z,63292.07,0.39,0.61
2026-07-29T21:05:28Z,63292.07,0.38,0.62
2026-07-29T21:05:29Z,63292.07,0.36,0.64
2026-07-29T21:05:30Z,63292.07,0.32,0.69
2026-07-29T21:05:31Z,63281.98,0.33,0.68
2026-07-29T21:05:32Z,63283.99,0.34,0.67
2026-07-29T21:05:33Z,63283.99,0.34,0.67
2026-07-29T21:05:34Z,63284.00,0.34,0.66
2026-07-29T21:05:35Z,63289.10,0.39,0.61
2026-07-29T21:05:36Z,63294.00,0.40,0.60
2026-07-29T21:05:37Z,63296.00,0.40,0.60
2026-07-29T21:05:38Z,63296.00,0.58,0.42
2026-07-29T21:05:39Z,63337.05,0.56,0.43
